time[ms],T[°C],hum[%],IAQ[\]
4.560000, 18.21, 50.0, 27.0
5.477000, 18.2, 50.0, 27.0
6.484000, 18.2, 49.0, 23.0
7.474000, 18.2, 49.0, 23.0
8.494000, 18.21, 49.0, 23.0
9.495000, 18.22, 49.0, 22.0
10.48900, 18.25, 49.0, 22.0
11.49300, 18.27, 49.0, 22.0
12.48300, 18.29, 49.0, 22.0
13.48900, 18.31, 49.0, 22.0
14.49300, 18.33, 49.0, 22.0
15.49600, 18.34, 49.0, 21.0
16.50100, 18.35, 49.0, 21.0
17.50600, 18.38, 49.0, 21.0
18.51400, 18.42, 49.0, 24.0
19.50400, 18.45, 49.0, 24.0
20.50900, 18.47, 49.0, 24.0
21.51100, 18.48, 49.0, 25.0
22.51600, 18.47, 49.0, 25.0
23.50600, 18.46, 49.0, 25.0
24.51100, 18.46, 49.0, 25.0
25.51600, 18.57, 49.0, 25.0
26.52100, 18.66, 49.0, 25.0
27.52900, 18.67, 49.0, 27.0
28.51600, 18.68, 49.0, 27.0
29.52500, 18.69, 49.0, 27.0
30.52600, 18.69, 49.0, 28.0
31.53100, 18.69, 49.0, 28.0
32.53600, 18.69, 49.0, 28.0
33.54100, 18.69, 49.0, 32.0
34.54600, 18.68, 49.0, 32.0
35.54000, 18.68, 49.0, 32.0
36.54400, 18.66, 49.0, 29.0
37.53400, 18.65, 49.0, 29.0
38.53900, 18.64, 49.0, 29.0
39.54400, 18.62, 48.0, 25.0
40.54600, 18.58, 48.0, 25.0
41.55400, 18.61, 48.0, 25.0
42.54100, 18.72, 48.0, 25.0
43.54900, 18.84, 48.0, 25.0
44.55400, 18.91, 48.0, 25.0
45.55900, 18.97, 48.0, 26.0
46.57600, 19.03, 48.0, 26.0
47.56600, 19.06, 48.0, 26.0
48.57100, 19.08, 48.0, 25.0
49.57900, 19.13, 48.0, 25.0
50.57000, 19.2, 48.0, 25.0
51.57500, 19.28, 47.0, 29.0
52.58000, 19.36, 47.0, 29.0
53.58400, 19.42, 47.0, 29.0
54.58700, 19.49, 47.0, 33.0
55.59100, 19.52, 47.0, 33.0
56.58300, 19.58, 47.0, 33.0
57.58900, 19.63, 47.0, 37.0
58.59500, 19.67, 47.0, 37.0
59.59700, 19.73, 47.0, 37.0
60.60500, 19.8, 46.0, 44.0
61.60700, 19.9, 46.0, 44.0
62.60000, 20.03, 46.0, 44.0
63.60500, 20.18, 46.0, 47.0
64.60700, 20.32, 46.0, 47.0
65.61400, 20.45, 46.0, 47.0
66.61800, 20.6, 46.0, 52.0
67.62200, 20.72, 46.0, 52.0
68.62700, 20.82, 45.0, 52.0
69.61700, 20.91, 45.0, 58.0
70.64000, 21.0, 45.0, 58.0
71.63000, 21.1, 45.0, 58.0
72.63400, 21.19, 44.0, 67.0
73.64000, 21.29, 44.0, 67.0
74.63000, 21.4, 44.0, 67.0
75.63400, 21.51, 44.0, 75.0
76.65300, 21.62, 44.0, 75.0
77.64200, 21.72, 44.0, 75.0
78.64700, 21.81, 44.0, 85.0
79.65200, 21.89, 43.0, 85.0
80.66000, 21.97, 43.0, 85.0
81.66400, 22.049999999999997, 43.0, 97.0
82.65400, 22.119999999999997, 43.0, 97.0
83.66100, 22.189999999999998, 43.0, 97.0
84.66600, 22.21, 43.0, 108.0
85.66700, 22.11, 42.0, 108.0
86.67200, 21.99, 42.0, 108.0
87.66500, 21.88, 42.0, 112.0
88.67000, 21.79, 42.0, 112.0
89.69000, 21.74, 42.0, 112.0
90.67900, 21.7, 42.0, 114.0
91.68500, 21.67, 43.0, 114.0
92.69000, 21.62, 45.0, 114.0
93.69600, 21.58, 46.0, 141.0
94.70000, 21.54, 46.0, 141.0
95.68900, 21.51, 46.0, 141.0
96.69500, 21.48, 45.0, 139.0
97.70000, 21.45, 45.0, 139.0
98.70500, 21.42, 45.0, 139.0
99.71000, 21.36, 44.0, 131.0
100.7140, 21.31, 44.0, 131.0
101.7200, 21.28, 44.0, 131.0
102.7230, 21.25, 44.0, 121.0
103.7150, 21.21, 44.0, 121.0
104.7200, 21.17, 43.0, 121.0
