time[ms],T[°C],hum[%],IAQ[\]
4.502000, 17.53, 41.0, 17.0
5.494000, 17.53, 41.0, 20.0
6.483000, 17.53, 41.0, 20.0
7.488000, 17.52, 41.0, 20.0
8.493000, 17.52, 41.0, 19.0
9.499000, 17.52, 41.0, 19.0
10.50000, 17.53, 41.0, 19.0
11.50900, 17.53, 41.0, 18.0
12.49700, 17.53, 41.0, 18.0
13.51700, 17.54, 41.0, 18.0
14.52300, 17.54, 41.0, 19.0
15.51300, 17.54, 41.0, 19.0
16.51500, 17.54, 41.0, 19.0
17.52000, 17.54, 41.0, 21.0
18.52800, 17.54, 41.0, 21.0
19.51800, 17.55, 41.0, 21.0
20.52300, 17.55, 41.0, 21.0
21.52500, 17.56, 41.0, 21.0
22.53200, 17.56, 41.0, 21.0
23.53800, 17.56, 41.0, 25.0
24.52500, 17.56, 41.0, 25.0
25.53300, 17.56, 42.0, 25.0
26.55000, 17.57, 42.0, 28.0
27.54200, 17.57, 42.0, 28.0
28.56300, 17.57, 42.0, 28.0
29.55300, 17.57, 42.0, 28.0
30.55800, 17.57, 42.0, 28.0
31.54700, 17.57, 42.0, 28.0
32.55400, 17.57, 42.0, 27.0
33.55800, 17.56, 42.0, 27.0
34.56300, 17.56, 42.0, 27.0
35.56800, 17.56, 42.0, 23.0
36.57300, 17.56, 42.0, 23.0
37.57500, 17.55, 42.0, 23.0
38.58300, 17.55, 42.0, 23.0
39.58600, 17.55, 42.0, 23.0
40.57900, 17.55, 42.0, 23.0
41.58000, 17.55, 42.0, 22.0
42.59000, 17.55, 41.0, 22.0
43.59300, 17.55, 41.0, 22.0
44.61300, 17.55, 41.0, 21.0
45.60300, 17.55, 41.0, 21.0
46.59200, 17.55, 41.0, 21.0
47.59800, 17.55, 41.0, 20.0
48.60300, 17.55, 41.0, 20.0
49.60500, 17.55, 41.0, 20.0
50.61000, 17.56, 41.0, 20.0
51.61700, 17.56, 41.0, 20.0
52.62000, 17.56, 41.0, 20.0
53.61000, 17.56, 41.0, 17.0
54.61500, 17.56, 41.0, 17.0
55.62000, 17.56, 41.0, 17.0
56.62500, 17.57, 41.0, 19.0
57.63000, 17.57, 41.0, 19.0
58.62000, 17.57, 41.0, 19.0
59.62800, 17.58, 41.0, 21.0
60.63000, 17.57, 41.0, 21.0
61.63500, 17.57, 41.0, 21.0
62.64300, 17.57, 41.0, 19.0
63.64500, 17.56, 41.0, 19.0
64.65000, 17.56, 41.0, 19.0
65.65700, 17.57, 41.0, 19.0
66.64600, 17.57, 41.0, 19.0
67.66800, 17.57, 41.0, 19.0
68.65800, 17.57, 41.0, 19.0
69.66400, 17.58, 41.0, 19.0
70.66500, 17.58, 41.0, 19.0
71.67000, 17.58, 41.0, 22.0
72.67500, 17.58, 41.0, 22.0
73.68000, 17.57, 41.0, 22.0
74.68600, 17.57, 41.0, 22.0
75.69100, 17.57, 41.0, 22.0
76.68000, 17.57, 41.0, 22.0
77.68500, 17.56, 41.0, 24.0
78.69000, 17.56, 41.0, 24.0
79.69500, 17.56, 41.0, 24.0
80.70000, 17.57, 41.0, 25.0
81.69200, 17.57, 41.0, 25.0
82.69900, 17.58, 41.0, 25.0
83.70300, 17.58, 41.0, 25.0
84.70500, 17.58, 41.0, 25.0
85.71100, 17.57, 41.0, 25.0
86.71800, 17.57, 41.0, 27.0
87.72000, 17.56, 41.0, 27.0
88.72900, 17.56, 41.0, 27.0
89.71500, 17.55, 41.0, 25.0
90.72200, 17.55, 41.0, 25.0
91.72500, 17.55, 41.0, 25.0
92.73000, 17.55, 41.0, 25.0
93.73800, 17.55, 41.0, 25.0
94.74400, 17.55, 41.0, 25.0
95.73400, 17.55, 41.0, 25.0
96.75000, 17.55, 41.0, 25.0
97.75500, 17.55, 41.0, 23.0
98.74500, 17.55, 41.0, 23.0
99.75000, 17.55, 41.0, 23.0
100.7550, 17.55, 41.0, 25.0
101.7600, 17.56, 41.0, 25.0
102.7650, 17.56, 41.0, 25.0
103.7590, 17.57, 41.0, 28.0
104.7620, 17.57, 41.0, 28.0
105.7820, 17.57, 41.0, 28.0
106.7730, 17.57, 41.0, 28.0
107.7750, 17.57, 41.0, 28.0
108.7950, 17.57, 42.0, 28.0
109.7850, 17.57, 42.0, 28.0
110.7940, 17.58, 42.0, 28.0
111.8130, 17.58, 42.0, 28.0
112.8000, 17.57, 42.0, 25.0
113.8050, 17.58, 41.0, 25.0
114.8100, 17.58, 41.0, 25.0
115.8170, 17.58, 41.0, 23.0
116.8240, 17.58, 41.0, 23.0
117.8250, 17.58, 41.0, 23.0
118.8310, 17.58, 41.0, 23.0
119.8350, 17.58, 41.0, 23.0
120.8400, 17.58, 41.0, 23.0
121.8480, 17.58, 41.0, 22.0
122.8380, 17.57, 41.0, 22.0
123.8400, 17.57, 41.0, 22.0
124.8450, 17.57, 41.0, 21.0
125.8510, 17.56, 41.0, 21.0
126.8550, 17.56, 41.0, 21.0
127.8450, 17.56, 41.0, 19.0
128.8500, 17.56, 41.0, 19.0
129.8550, 17.57, 41.0, 19.0
130.8600, 17.57, 41.0, 21.0
131.8690, 17.57, 41.0, 21.0
132.8710, 17.57, 41.0, 21.0
133.8750, 17.57, 41.0, 21.0
