time[ms],T[°C],hum[%],IAQ[\]
134.8830, 17.57, 41.0, 21.0
135.8730, 17.57, 41.0, 21.0
136.8930, 17.58, 41.0, 25.0
137.8800, 17.58, 41.0, 25.0
138.8850, 17.58, 41.0, 25.0
139.8900, 17.58, 41.0, 25.0
140.8950, 17.58, 41.0, 25.0
141.8850, 17.58, 41.0, 25.0
142.8900, 17.58, 41.0, 27.0
143.9080, 17.57, 41.0, 27.0
144.9000, 17.57, 41.0, 27.0
145.9050, 17.57, 41.0, 29.0
146.9130, 17.57, 41.0, 29.0
147.9160, 17.57, 41.0, 29.0
148.9200, 17.57, 41.0, 27.0
149.9100, 17.57, 41.0, 27.0
150.9150, 17.57, 41.0, 27.0
151.9200, 17.56, 41.0, 25.0
152.9260, 17.56, 41.0, 25.0
153.9310, 17.56, 41.0, 25.0
154.9200, 17.57, 41.0, 23.0
155.9250, 17.56, 41.0, 23.0
156.9330, 17.56, 41.0, 23.0
157.9350, 17.56, 41.0, 21.0
158.9400, 17.57, 41.0, 21.0
159.9450, 17.58, 41.0, 21.0
160.9500, 17.58, 41.0, 24.0
161.9550, 17.58, 41.0, 24.0
162.9630, 17.58, 41.0, 24.0
163.9650, 17.59, 41.0, 25.0
164.9550, 17.6, 41.0, 25.0
165.9600, 17.6, 41.0, 25.0
166.9650, 17.6, 41.0, 24.0
167.9700, 17.6, 41.0, 24.0
168.9760, 17.59, 41.0, 24.0
169.9800, 17.59, 41.0, 25.0
170.9890, 17.6, 41.0, 25.0
171.9780, 17.6, 41.0, 25.0
172.9830, 17.6, 41.0, 24.0
173.9870, 17.6, 41.0, 24.0
174.9900, 17.6, 41.0, 24.0
175.9820, 17.59, 41.0, 25.0
176.9850, 17.58, 41.0, 25.0
177.9940, 17.58, 41.0, 25.0
179.0140, 17.58, 41.0, 26.0
180.0040, 17.58, 41.0, 26.0
180.9900, 17.58, 41.0, 26.0
182.0100, 17.58, 41.0, 25.0
183.0010, 17.58, 41.0, 25.0
184.0050, 17.58, 41.0, 25.0
185.0130, 17.58, 41.0, 29.0
186.0160, 17.58, 41.0, 29.0
187.0050, 17.58, 41.0, 29.0
188.0100, 17.58, 41.0, 28.0
189.0310, 17.58, 41.0, 28.0
190.0210, 17.58, 41.0, 28.0
191.0130, 17.58, 41.0, 29.0
192.0310, 17.59, 41.0, 29.0
193.0220, 17.59, 41.0, 29.0
194.0290, 17.59, 41.0, 28.0
195.0300, 17.59, 41.0, 28.0
196.0230, 17.59, 41.0, 28.0
197.0260, 17.59, 41.0, 28.0
198.0450, 17.58, 41.0, 28.0
199.0380, 17.58, 42.0, 28.0
200.0430, 17.59, 42.0, 25.0
201.0490, 17.58, 42.0, 25.0
202.0500, 17.58, 42.0, 25.0
203.0400, 17.58, 42.0, 26.0
204.0450, 17.57, 42.0, 26.0
205.0500, 17.57, 42.0, 26.0
206.0560, 17.57, 42.0, 25.0
207.0610, 17.56, 42.0, 25.0
208.0680, 17.56, 42.0, 25.0
209.0850, 17.56, 42.0, 25.0
210.0780, 17.56, 42.0, 25.0
211.0850, 17.56, 41.0, 25.0
212.0700, 17.56, 41.0, 25.0
213.0760, 17.55, 41.0, 25.0
214.0840, 17.55, 41.0, 25.0
215.0880, 17.55, 41.0, 25.0
216.0940, 17.55, 41.0, 25.0
217.0950, 17.55, 41.0, 25.0
218.1150, 17.55, 41.0, 25.0
219.0910, 17.54, 41.0, 25.0
220.0980, 17.54, 41.0, 25.0
221.1010, 17.54, 41.0, 25.0
222.1070, 17.54, 41.0, 25.0
223.1110, 17.54, 41.0, 25.0
224.1180, 17.54, 41.0, 25.0
225.1090, 17.54, 41.0, 25.0
226.1120, 17.55, 41.0, 25.0
227.1300, 17.54, 41.0, 25.0
228.1200, 17.55, 41.0, 25.0
229.1130, 17.55, 41.0, 25.0
230.1330, 17.55, 42.0, 25.0
231.1380, 17.54, 42.0, 25.0
232.1290, 17.54, 42.0, 25.0
233.1340, 17.54, 41.0, 24.0
234.1380, 17.54, 41.0, 24.0
235.1430, 17.54, 41.0, 24.0
236.1470, 17.54, 41.0, 25.0
237.1540, 17.54, 41.0, 25.0
238.1430, 17.54, 41.0, 25.0
239.1600, 17.55, 41.0, 23.0
240.1540, 17.55, 41.0, 23.0
241.1570, 17.55, 41.0, 23.0
242.1640, 17.55, 41.0, 25.0
243.1540, 17.55, 41.0, 25.0
244.1710, 17.55, 41.0, 25.0
245.1640, 17.56, 41.0, 25.0
246.1680, 17.56, 41.0, 25.0
247.1730, 17.56, 41.0, 25.0
248.1790, 17.56, 41.0, 26.0
249.1680, 17.56, 41.0, 26.0
250.1700, 17.56, 41.0, 26.0
251.1780, 17.57, 41.0, 25.0
252.1840, 17.57, 41.0, 25.0
253.1900, 17.57, 41.0, 25.0
254.1930, 17.57, 41.0, 26.0
255.1820, 17.57, 41.0, 26.0
256.1900, 17.57, 41.0, 26.0
257.1900, 17.57, 41.0, 29.0
258.1970, 17.56, 41.0, 29.0
259.1860, 17.56, 41.0, 29.0
260.1910, 17.57, 41.0, 28.0
261.1990, 17.56, 41.0, 28.0
262.2040, 17.56, 41.0, 28.0
263.2080, 17.56, 41.0, 28.0
264.2130, 17.57, 41.0, 28.0
265.2170, 17.56, 41.0, 28.0
266.2200, 17.56, 41.0, 28.0
267.2130, 17.56, 41.0, 28.0
268.2150, 17.56, 41.0, 28.0
269.2510, 17.57, 41.0, 26.0
270.2250, 17.56, 41.0, 26.0
271.2310, 17.56, 41.0, 26.0
272.2200, 17.56, 41.0, 26.0
273.2280, 17.56, 41.0, 26.0
274.2320, 17.56, 41.0, 26.0
275.2350, 17.55, 41.0, 25.0
276.2290, 17.55, 41.0, 25.0
277.2310, 17.55, 41.0, 25.0
278.2390, 17.55, 41.0, 25.0
279.2400, 17.56, 41.0, 25.0
280.2450, 17.56, 41.0, 25.0
281.2530, 17.57, 41.0, 25.0
282.2550, 17.57, 41.0, 25.0
283.2470, 17.58, 41.0, 25.0
284.2530, 17.58, 41.0, 27.0
285.2560, 17.58, 41.0, 27.0
286.2640, 17.57, 41.0, 27.0
287.2690, 17.57, 41.0, 26.0
288.2730, 17.57, 41.0, 26.0
289.2790, 17.57, 41.0, 26.0
290.2650, 17.57, 41.0, 25.0
291.2700, 17.57, 41.0, 25.0
292.2900, 17.58, 41.0, 25.0
293.2800, 17.58, 41.0, 25.0
294.2860, 17.59, 41.0, 25.0
295.2930, 17.58, 41.0, 25.0
296.2810, 17.58, 41.0, 25.0
297.2880, 17.58, 41.0, 25.0
298.2910, 17.58, 41.0, 25.0
299.2980, 17.58, 41.0, 25.0
300.2860, 17.58, 41.0, 25.0
301.2940, 17.58, 41.0, 25.0
302.2970, 17.59, 41.0, 25.0
303.3040, 17.59, 41.0, 25.0
304.3090, 17.59, 41.0, 25.0
305.3110, 17.59, 41.0, 25.0
306.3310, 17.59, 41.0, 25.0
307.3060, 17.59, 41.0, 25.0
308.3260, 17.59, 41.0, 26.0
309.3310, 17.59, 41.0, 26.0
310.3240, 17.58, 41.0, 26.0
311.3290, 17.58, 41.0, 26.0
312.3320, 17.59, 41.0, 26.0
313.3360, 17.58, 41.0, 26.0
314.3280, 17.59, 41.0, 25.0
315.3330, 17.59, 41.0, 25.0
316.3420, 17.58, 41.0, 25.0
317.3260, 17.58, 41.0, 25.0
318.3330, 17.58, 41.0, 25.0
319.3390, 17.58, 41.0, 25.0
320.3410, 17.58, 41.0, 27.0
321.3500, 17.59, 41.0, 27.0
322.3360, 17.58, 41.0, 27.0
323.3410, 17.59, 41.0, 26.0
324.3480, 17.59, 41.0, 26.0
325.3510, 17.59, 41.0, 26.0
326.3560, 17.59, 41.0, 25.0
327.3610, 17.58, 41.0, 25.0
328.3510, 17.58, 41.0, 25.0
329.3580, 17.58, 41.0, 25.0
330.3610, 17.57, 41.0, 25.0
331.3650, 17.57, 41.0, 25.0
332.3730, 17.57, 41.0, 26.0
333.3760, 17.56, 41.0, 26.0
334.3680, 17.56, 41.0, 26.0
335.3710, 17.56, 41.0, 27.0
336.3760, 17.55, 41.0, 27.0
337.3840, 17.55, 41.0, 27.0
338.3710, 17.54, 41.0, 26.0
339.3750, 17.54, 41.0, 26.0
340.3810, 17.54, 41.0, 26.0
341.3860, 17.53, 41.0, 25.0
342.3760, 17.53, 41.0, 25.0
343.3810, 17.53, 41.0, 25.0
344.3860, 17.52, 41.0, 25.0
345.4060, 17.52, 41.0, 25.0
346.3990, 17.52, 41.0, 25.0
347.4010, 17.52, 41.0, 26.0
348.3910, 17.52, 41.0, 26.0
349.3960, 17.52, 41.0, 26.0
350.4010, 17.52, 41.0, 26.0
351.4090, 17.52, 41.0, 26.0
352.4100, 17.52, 42.0, 26.0
353.4190, 17.52, 41.0, 25.0
354.4050, 17.52, 41.0, 25.0
355.4250, 17.52, 41.0, 25.0
356.4160, 17.52, 41.0, 25.0
357.4200, 17.52, 41.0, 25.0
358.4260, 17.51, 41.0, 25.0
359.4310, 17.52, 41.0, 25.0
360.4400, 17.52, 41.0, 25.0
361.4410, 17.51, 41.0, 25.0
362.4300, 17.51, 41.0, 26.0
363.4530, 17.51, 41.0, 26.0
364.4440, 17.51, 41.0, 26.0
365.4460, 17.51, 41.0, 25.0
366.4510, 17.51, 41.0, 25.0
367.4560, 17.51, 41.0, 25.0
368.4610, 17.51, 41.0, 24.0
369.4660, 17.52, 41.0, 24.0
370.4730, 17.52, 41.0, 24.0
371.4790, 17.52, 41.0, 25.0
372.4690, 17.52, 41.0, 25.0
373.4710, 17.52, 41.0, 25.0
374.4610, 17.52, 41.0, 26.0
375.4810, 17.52, 41.0, 26.0
376.4710, 17.52, 41.0, 26.0
377.4760, 17.52, 41.0, 25.0
378.4800, 17.52, 41.0, 25.0
379.4850, 17.52, 41.0, 25.0
380.4940, 17.52, 41.0, 26.0
381.4800, 17.52, 41.0, 26.0
382.4890, 17.52, 41.0, 26.0
383.4910, 17.51, 41.0, 25.0
384.5000, 17.51, 41.0, 25.0
385.5040, 17.51, 41.0, 25.0
386.5090, 17.51, 41.0, 24.0
387.5110, 17.5, 41.0, 24.0
388.5310, 17.5, 41.0, 24.0
389.5060, 17.5, 41.0, 25.0
390.5110, 17.5, 41.0, 25.0
391.5180, 17.51, 41.0, 25.0
392.5210, 17.5, 41.0, 26.0
393.5260, 17.5, 41.0, 26.0
394.5300, 17.5, 41.0, 26.0
395.5240, 17.5, 41.0, 26.0
396.5260, 17.5, 41.0, 26.0
397.5310, 17.5, 41.0, 26.0
398.5350, 17.5, 41.0, 27.0
399.5410, 17.5, 41.0, 27.0
400.5460, 17.5, 41.0, 27.0
401.5360, 17.5, 41.0, 26.0
402.5410, 17.5, 41.0, 26.0
403.5480, 17.5, 41.0, 26.0
404.5540, 17.51, 41.0, 26.0
405.5410, 17.51, 41.0, 26.0
406.5490, 17.52, 41.0, 26.0
407.5510, 17.52, 41.0, 27.0
408.5560, 17.52, 41.0, 27.0
409.5640, 17.52, 41.0, 27.0
410.5660, 17.53, 41.0, 26.0
411.5560, 17.53, 41.0, 26.0
412.5630, 17.53, 41.0, 26.0
413.5680, 17.52, 41.0, 27.0
414.5710, 17.52, 41.0, 27.0
415.5760, 17.52, 41.0, 27.0
416.5810, 17.52, 41.0, 27.0
417.5740, 17.52, 41.0, 27.0
418.5790, 17.51, 41.0, 27.0
419.5810, 17.51, 41.0, 25.0
420.5900, 17.52, 41.0, 25.0
421.5910, 17.51, 41.0, 25.0
422.5810, 17.51, 41.0, 25.0
423.5900, 17.51, 41.0, 25.0
424.5950, 17.51, 41.0, 25.0
425.5990, 17.52, 41.0, 25.0
426.6010, 17.51, 41.0, 25.0
427.6060, 17.51, 41.0, 25.0
428.6110, 17.51, 41.0, 24.0
429.6050, 17.51, 41.0, 24.0
430.6090, 17.51, 41.0, 24.0
431.6140, 17.52, 41.0, 25.0
432.6160, 17.51, 41.0, 25.0
433.6100, 17.51, 41.0, 25.0
434.6140, 17.51, 41.0, 24.0
435.6180, 17.51, 41.0, 24.0
436.6210, 17.51, 41.0, 24.0
437.6260, 17.51, 41.0, 26.0
438.6340, 17.51, 41.0, 26.0
439.6360, 17.51, 41.0, 26.0
440.6410, 17.52, 41.0, 27.0
441.6460, 17.52, 41.0, 27.0
442.6390, 17.51, 41.0, 27.0
443.6560, 17.51, 41.0, 28.0
444.6500, 17.51, 41.0, 28.0
445.6510, 17.52, 41.0, 28.0
446.6560, 17.52, 41.0, 26.0
447.6610, 17.52, 41.0, 26.0
448.6510, 17.51, 41.0, 26.0
449.6710, 17.51, 41.0, 26.0
450.6610, 17.51, 41.0, 26.0
451.6660, 17.52, 41.0, 26.0
452.6710, 17.52, 41.0, 26.0
453.6760, 17.52, 41.0, 26.0
454.6840, 17.52, 41.0, 26.0
455.6860, 17.53, 41.0, 28.0
456.6910, 17.54, 41.0, 28.0
457.6960, 17.54, 41.0, 28.0
458.7010, 17.54, 41.0, 27.0
459.7060, 17.54, 41.0, 27.0
460.6960, 17.54, 41.0, 27.0
461.7010, 17.54, 41.0, 25.0
462.7090, 17.54, 41.0, 25.0
463.7140, 17.54, 41.0, 25.0
464.7160, 17.54, 41.0, 26.0
465.7210, 17.54, 41.0, 26.0
466.7260, 17.55, 41.0, 26.0
467.7310, 17.54, 41.0, 27.0
468.7390, 17.55, 41.0, 27.0
469.7290, 17.55, 41.0, 27.0
470.7460, 17.55, 41.0, 28.0
471.7360, 17.55, 41.0, 28.0
472.7410, 17.56, 42.0, 28.0
473.7450, 17.56, 42.0, 31.0
474.7510, 17.56, 42.0, 31.0
475.7550, 17.57, 42.0, 31.0
476.7640, 17.57, 42.0, 36.0
477.7660, 17.58, 43.0, 36.0
478.7710, 17.58, 43.0, 36.0
479.7790, 17.58, 43.0, 40.0
480.7810, 17.58, 43.0, 40.0
481.7780, 17.58, 43.0, 40.0
482.7940, 17.58, 43.0, 45.0
483.7830, 17.58, 43.0, 45.0
484.7890, 17.58, 43.0, 45.0
485.7910, 17.58, 43.0, 43.0
486.7960, 17.58, 43.0, 43.0
487.7890, 17.58, 43.0, 43.0
488.7910, 17.57, 43.0, 38.0
489.7990, 17.57, 43.0, 38.0
490.8040, 17.57, 42.0, 38.0
491.8060, 17.57, 42.0, 34.0
492.7960, 17.57, 42.0, 34.0
493.8040, 17.56, 42.0, 34.0
494.8080, 17.56, 42.0, 29.0
495.8140, 17.56, 42.0, 29.0
496.8330, 17.57, 42.0, 29.0
497.8240, 17.58, 42.0, 29.0
498.8290, 17.58, 43.0, 29.0
499.8310, 17.59, 43.0, 29.0
500.8390, 17.59, 43.0, 29.0
501.8440, 17.59, 43.0, 29.0
502.8490, 17.58, 43.0, 29.0
503.8540, 17.57, 43.0, 25.0
504.8430, 17.58, 43.0, 25.0
505.8490, 17.58, 43.0, 25.0
506.8540, 17.59, 44.0, 35.0
507.8560, 17.59, 44.0, 35.0
508.8640, 17.58, 44.0, 35.0
509.8850, 17.57, 44.0, 33.0
510.8750, 17.58, 44.0, 33.0
511.8790, 17.58, 45.0, 33.0
512.8680, 17.57, 45.0, 40.0
513.8750, 17.56, 45.0, 40.0
514.8790, 17.56, 45.0, 40.0
515.8850, 17.56, 45.0, 42.0
516.8890, 17.56, 45.0, 42.0
517.8940, 17.56, 45.0, 42.0
518.8810, 17.56, 45.0, 45.0
519.9010, 17.56, 46.0, 45.0
520.8950, 17.56, 46.0, 45.0
521.8990, 17.57, 46.0, 45.0
522.9040, 17.57, 46.0, 45.0
523.9060, 17.58, 46.0, 45.0
524.9110, 17.59, 46.0, 48.0
525.9190, 17.6, 46.0, 48.0
526.9250, 17.6, 46.0, 48.0
527.9290, 17.6, 46.0, 46.0
528.9340, 17.6, 46.0, 46.0
529.9390, 17.6, 46.0, 46.0
530.9450, 17.6, 46.0, 46.0
531.9310, 17.6, 46.0, 46.0
532.9390, 17.61, 46.0, 46.0
533.9430, 17.61, 46.0, 45.0
534.9460, 17.59, 46.0, 45.0
535.9540, 17.59, 46.0, 45.0
536.9600, 17.6, 46.0, 41.0
537.9480, 17.6, 46.0, 41.0
538.9540, 17.6, 46.0, 41.0
539.9710, 17.6, 46.0, 38.0
540.9610, 17.61, 46.0, 38.0
541.9690, 17.61, 45.0, 38.0
542.9740, 17.62, 45.0, 32.0
543.9790, 17.62, 45.0, 32.0
544.9840, 17.63, 44.0, 32.0
545.9900, 17.63, 44.0, 26.0
547.0090, 17.63, 44.0, 26.0
547.9990, 17.64, 44.0, 26.0
549.0160, 17.64, 44.0, 22.0
549.9910, 17.64, 43.0, 22.0
550.9960, 17.65, 43.0, 22.0
552.0190, 17.65, 43.0, 17.0
553.0080, 17.66, 43.0, 17.0
553.9980, 17.67, 43.0, 17.0
555.0060, 17.68, 43.0, 16.0
556.0060, 17.68, 43.0, 16.0
557.0140, 17.69, 43.0, 16.0
558.0200, 17.69, 43.0, 15.0
559.0090, 17.69, 43.0, 15.0
560.0140, 17.7, 43.0, 15.0
561.0190, 17.7, 43.0, 14.0
562.0250, 17.69, 43.0, 14.0
563.0290, 17.69, 43.0, 14.0
564.0310, 17.7, 43.0, 16.0
565.0390, 17.7, 43.0, 16.0
566.0410, 17.71, 43.0, 16.0
567.0320, 17.72, 43.0, 18.0
568.0390, 17.72, 43.0, 18.0
569.0440, 17.72, 43.0, 18.0
570.0500, 17.73, 43.0, 20.0
571.0550, 17.74, 43.0, 20.0
572.0590, 17.74, 43.0, 20.0
573.0650, 17.74, 43.0, 25.0
574.0540, 17.75, 43.0, 25.0
575.0590, 17.75, 43.0, 25.0
576.0610, 17.76, 43.0, 25.0
577.0840, 17.76, 43.0, 25.0
578.0710, 17.76, 43.0, 25.0
579.0760, 17.76, 42.0, 23.0
580.0840, 17.77, 42.0, 23.0
581.0740, 17.77, 42.0, 23.0
582.0910, 17.77, 42.0, 20.0
583.0810, 17.77, 42.0, 20.0
584.0880, 17.77, 42.0, 20.0
585.1090, 17.77, 42.0, 21.0
586.0990, 17.77, 42.0, 21.0
587.0860, 17.77, 42.0, 21.0
588.0930, 17.77, 42.0, 22.0
589.0990, 17.77, 42.0, 22.0
590.1050, 17.77, 42.0, 22.0
591.1100, 17.77, 42.0, 23.0
592.1140, 17.77, 42.0, 23.0
593.1190, 17.77, 42.0, 23.0
594.1240, 17.77, 42.0, 24.0
595.1260, 17.78, 42.0, 24.0
596.1190, 17.78, 42.0, 24.0
597.1240, 17.78, 42.0, 24.0
598.1280, 17.78, 42.0, 24.0
599.1310, 17.79, 42.0, 24.0
600.1400, 17.8, 42.0, 24.0
601.1440, 17.8, 42.0, 24.0
602.1490, 17.8, 42.0, 24.0
603.1380, 17.81, 42.0, 25.0
604.1440, 17.81, 42.0, 25.0
605.1490, 17.82, 42.0, 25.0
606.1510, 17.82, 42.0, 26.0
607.1740, 17.82, 42.0, 26.0
608.1630, 17.82, 42.0, 26.0
609.1690, 17.82, 42.0, 28.0
610.1600, 17.81, 42.0, 28.0
611.1640, 17.81, 42.0, 28.0
612.1660, 17.82, 42.0, 27.0
613.1750, 17.82, 42.0, 27.0
614.1760, 17.82, 42.0, 27.0
615.1840, 17.82, 41.0, 27.0
616.1750, 17.82, 41.0, 27.0
617.1760, 17.83, 41.0, 27.0
618.1810, 17.83, 41.0, 27.0
619.1890, 17.84, 41.0, 27.0
620.1940, 17.84, 41.0, 27.0
621.1990, 17.85, 41.0, 27.0
622.1880, 17.85, 41.0, 27.0
623.1950, 17.85, 41.0, 27.0
624.1990, 17.85, 41.0, 29.0
625.2050, 17.85, 41.0, 29.0
626.2060, 17.85, 41.0, 29.0
627.2120, 17.86, 41.0, 30.0
628.2160, 17.86, 41.0, 30.0
629.2090, 17.86, 41.0, 30.0
630.2290, 17.87, 41.0, 31.0
631.2340, 17.86, 41.0, 31.0
632.2210, 17.86, 41.0, 31.0
633.2410, 17.87, 41.0, 33.0
634.2340, 17.87, 41.0, 33.0
635.2360, 17.87, 41.0, 33.0
636.2440, 17.87, 41.0, 32.0
637.2480, 17.87, 41.0, 32.0
638.2370, 17.87, 41.0, 32.0
639.2420, 17.88, 41.0, 32.0
640.2490, 17.87, 41.0, 32.0
641.2540, 17.87, 41.0, 32.0
642.2580, 17.88, 41.0, 31.0
643.2490, 17.88, 41.0, 31.0
644.2540, 17.88, 41.0, 31.0
645.2590, 17.87, 41.0, 30.0
646.2640, 17.88, 41.0, 30.0
647.2660, 17.88, 41.0, 30.0
648.2710, 17.88, 41.0, 31.0
649.2650, 17.88, 41.0, 31.0
650.2660, 17.88, 41.0, 31.0
651.2720, 17.89, 41.0, 34.0
652.2790, 17.89, 41.0, 34.0
653.2810, 17.89, 41.0, 34.0
654.2860, 17.89, 41.0, 36.0
655.2910, 17.9, 41.0, 36.0
656.2960, 17.89, 41.0, 36.0
657.3050, 17.89, 41.0, 34.0
658.3060, 17.9, 41.0, 34.0
659.3150, 17.9, 41.0, 34.0
660.3040, 17.9, 41.0, 35.0
661.3070, 17.9, 41.0, 35.0
662.3110, 17.9, 41.0, 35.0
663.3170, 17.91, 41.0, 35.0
664.3250, 17.91, 41.0, 35.0
665.3280, 17.91, 41.0, 39.0
666.3310, 17.91, 41.0, 39.0
667.3240, 17.91, 41.0, 39.0
668.3300, 17.91, 41.0, 38.0
669.3350, 17.92, 41.0, 38.0
670.3220, 17.92, 41.0, 38.0
671.3290, 17.91, 41.0, 37.0
672.3310, 17.91, 41.0, 37.0
673.3390, 17.92, 41.0, 37.0
674.3420, 17.91, 41.0, 34.0
675.3310, 17.91, 41.0, 34.0
676.3510, 17.92, 41.0, 34.0
677.3410, 17.92, 41.0, 35.0
678.3470, 17.92, 41.0, 35.0
679.3510, 17.93, 41.0, 35.0
680.3580, 17.94, 41.0, 34.0
681.3610, 17.94, 41.0, 34.0
682.3550, 17.94, 41.0, 34.0
683.3560, 17.94, 41.0, 35.0
685.5760, 17.94, 41.0, 35.0
687.4990, 17.93, 41.0, 35.0
689.3740, 17.94, 41.0, 35.0
691.2790, 17.93, 41.0, 37.0
693.1670, 17.94, 41.0, 38.0
695.0410, 17.94, 41.0, 38.0
698.1490, 17.94, 41.0, 38.0
699.0910, 17.93, 41.0, 38.0
701.0150, 17.94, 41.0, 38.0
702.9940, 17.93, 41.0, 38.0
704.9560, 17.92, 41.0, 37.0
706.8040, 17.92, 41.0, 37.0
708.6190, 17.93, 41.0, 37.0
710.3870, 17.92, 41.0, 36.0
712.2010, 17.92, 41.0, 37.0
713.8990, 17.92, 41.0, 36.0
715.6520, 17.92, 41.0, 36.0
717.3790, 17.92, 41.0, 37.0
719.1170, 17.92, 41.0, 37.0
