time[ms],T[°C],hum[%],IAQ[\]
34.07400, 23.35, 41.0, 107.0
37.19100, 23.67, 41.0, 117.0
38.13600, 23.89, 40.0, 129.0
40.05600, 23.909999999999997, 40.0, 129.0
41.96100, 24.03, 39.0, 138.0
43.89600, 24.240000000000002, 39.0, 138.0
45.78600, 24.439999999999998, 39.0, 147.0
47.70700, 24.740000000000002, 39.0, 160.0
49.59900, 24.85, 38.0, 160.0
51.48900, 24.82, 38.0, 170.0
53.40900, 24.869999999999997, 37.0, 170.0
55.29700, 25.04, 37.0, 177.0
57.23400, 25.35, 36.0, 185.0
59.12500, 25.36, 36.0, 185.0
61.07400, 25.310000000000002, 36.0, 195.0
62.99200, 25.310000000000002, 35.0, 198.0
64.97200, 25.32, 35.0, 198.0
68.12500, 25.32, 35.0, 201.0
69.02500, 25.39, 35.0, 203.0
70.85200, 25.450000000000003, 35.0, 203.0
72.59600, 26.490000000000002, 35.0, 210.0
74.31600, 27.270000000000003, 35.0, 223.0
76.08900, 27.54, 34.0, 223.0
77.81200, 27.93, 34.0, 243.0
79.58500, 28.17, 33.0, 243.0
81.33700, 28.35, 33.0, 250.0
83.13700, 28.43, 33.0, 250.0
84.92600, 28.549999999999997, 32.0, 263.0
86.82700, 28.659999999999997, 32.0, 276.0
88.75000, 28.759999999999998, 32.0, 276.0
90.66700, 28.86, 31.0, 286.0
92.59000, 28.950000000000003, 31.0, 295.0
94.52200, 29.03, 31.0, 295.0
96.42700, 29.090000000000003, 31.0, 301.0
99.58000, 29.11, 31.0, 301.0
100.5380, 29.21, 30.0, 309.0
102.4570, 29.240000000000002, 30.0, 309.0
104.3800, 29.25, 30.0, 309.0
106.3160, 29.28, 30.0, 312.0
108.2320, 29.32, 30.0, 313.0
110.1540, 29.36, 30.0, 313.0
112.0890, 29.4, 30.0, 315.0
114.0110, 29.39, 30.0, 316.0
115.9460, 28.869999999999997, 30.0, 316.0
117.8650, 28.479999999999997, 30.0, 313.0
119.8010, 28.090000000000003, 30.0, 305.0
121.7330, 27.689999999999998, 30.0, 305.0
123.6560, 27.33, 30.0, 294.0
125.5760, 27.03, 31.0, 278.0
127.4930, 26.770000000000003, 31.0, 278.0
130.6430, 26.64, 31.0, 264.0
131.6210, 26.189999999999998, 32.0, 251.0
133.5560, 26.090000000000003, 32.0, 251.0
135.5050, 25.810000000000002, 32.0, 240.0
137.4260, 25.700000000000003, 32.0, 240.0
139.3310, 25.53, 33.0, 230.0
141.2670, 25.4, 33.0, 219.0
143.1860, 25.28, 33.0, 219.0
145.1060, 25.15, 34.0, 211.0
147.0110, 25.03, 34.0, 206.0
148.9460, 24.880000000000003, 35.0, 206.0
150.8670, 24.810000000000002, 35.0, 197.0
152.7860, 24.71, 36.0, 193.0
154.7210, 24.630000000000003, 36.0, 193.0
156.6390, 24.53, 36.0, 188.0
158.5470, 24.39, 36.0, 181.0
161.6810, 24.229999999999997, 36.0, 181.0
162.6560, 24.060000000000002, 36.0, 173.0
164.5440, 24.03, 36.0, 168.0
166.4960, 23.950000000000003, 37.0, 168.0
168.4310, 23.909999999999997, 37.0, 162.0
170.3520, 23.810000000000002, 37.0, 162.0
