time[ms],T[°C],hum[%],IAQ[\]
37.43200, 19.42, 42.0, 40.0
38.38900, 19.42, 42.0, 40.0
40.32700, 19.43, 42.0, 39.0
42.26200, 19.42, 42.0, 39.0
44.22700, 19.42, 42.0, 38.0
46.16200, 19.43, 42.0, 38.0
48.09800, 19.42, 42.0, 38.0
50.01700, 19.43, 42.0, 38.0
51.95200, 19.43, 42.0, 39.0
53.90300, 19.43, 43.0, 39.0
55.82200, 19.42, 43.0, 44.0
57.75400, 19.43, 43.0, 44.0
59.67800, 19.42, 43.0, 45.0
61.56600, 19.43, 43.0, 44.0
63.39500, 19.43, 43.0, 45.0
65.24300, 19.43, 43.0, 45.0
68.22700, 19.43, 43.0, 42.0
69.08000, 19.43, 43.0, 41.0
70.83700, 19.44, 43.0, 41.0
72.57800, 19.44, 43.0, 43.0
74.31500, 19.45, 43.0, 43.0
76.04000, 19.45, 43.0, 42.0
77.75200, 19.46, 43.0, 42.0
79.50500, 19.46, 43.0, 42.0
81.23100, 19.46, 43.0, 43.0
82.97200, 19.46, 43.0, 43.0
84.72900, 19.47, 43.0, 40.0
86.52700, 19.47, 43.0, 40.0
88.37300, 19.47, 43.0, 40.0
90.23100, 19.47, 43.0, 40.0
92.21300, 19.47, 42.0, 40.0
94.16300, 19.48, 42.0, 40.0
96.05000, 19.48, 42.0, 39.0
99.17300, 19.49, 42.0, 38.0
100.1190, 19.49, 42.0, 40.0
102.0390, 19.5, 42.0, 40.0
103.9290, 19.5, 42.0, 40.0
105.8330, 19.5, 42.0, 40.0
107.7520, 19.51, 42.0, 40.0
109.6590, 19.51, 42.0, 39.0
111.5630, 19.51, 42.0, 41.0
113.4530, 19.5, 42.0, 41.0
115.3580, 19.51, 42.0, 40.0
117.2610, 19.5, 42.0, 40.0
119.1840, 19.5, 42.0, 38.0
121.1050, 19.5, 42.0, 40.0
122.9910, 19.5, 42.0, 38.0
124.8900, 19.5, 42.0, 38.0
126.8450, 19.5, 42.0, 37.0
129.9990, 19.49, 42.0, 37.0
130.9740, 19.48, 42.0, 38.0
132.9060, 19.48, 42.0, 38.0
134.8290, 19.47, 42.0, 35.0
136.7480, 19.47, 42.0, 35.0
138.6680, 19.46, 42.0, 34.0
140.6010, 19.45, 42.0, 32.0
142.5540, 19.44, 42.0, 32.0
144.4860, 19.44, 42.0, 31.0
146.4080, 19.43, 42.0, 31.0
148.3140, 19.43, 42.0, 31.0
150.2310, 19.42, 42.0, 31.0
152.1540, 19.42, 42.0, 30.0
154.0450, 19.41, 42.0, 30.0
155.9460, 19.41, 42.0, 29.0
157.8540, 19.41, 42.0, 29.0
160.9860, 19.42, 42.0, 31.0
161.9790, 19.41, 42.0, 31.0
163.9000, 19.41, 42.0, 31.0
165.8350, 19.42, 42.0, 31.0
167.7510, 19.41, 42.0, 32.0
169.6740, 19.41, 42.0, 32.0
171.5770, 19.39, 42.0, 32.0
173.5000, 19.39, 42.0, 32.0
175.3900, 19.38, 42.0, 33.0
177.2760, 19.38, 42.0, 33.0
179.1540, 19.37, 42.0, 33.0
181.0450, 19.36, 42.0, 32.0
182.9190, 19.35, 42.0, 30.0
184.8090, 19.35, 42.0, 30.0
186.6970, 19.34, 42.0, 31.0
188.5890, 19.33, 42.0, 31.0
191.6650, 19.33, 42.0, 32.0
192.5950, 19.32, 42.0, 30.0
194.4970, 19.31, 42.0, 30.0
196.3740, 19.31, 42.0, 30.0
198.2510, 19.3, 42.0, 30.0
200.1250, 19.3, 42.0, 29.0
202.0000, 19.3, 42.0, 28.0
203.8580, 19.3, 42.0, 28.0
205.7480, 19.29, 42.0, 28.0
207.6250, 19.29, 42.0, 30.0
209.5270, 19.25, 42.0, 30.0
211.4350, 19.23, 42.0, 30.0
213.3700, 19.29, 43.0, 30.0
215.2570, 19.47, 48.0, 85.0
217.1950, 19.77, 54.0, 85.0
219.1000, 20.06, 62.0, 165.0
222.2200, 20.19, 68.0, 231.0
223.1490, 20.02, 72.0, 253.0
225.0410, 19.95, 72.0, 253.0
226.9270, 19.8, 68.0, 239.0
228.8350, 19.71, 63.0, 239.0
230.7380, 19.67, 60.0, 201.0
232.6320, 19.65, 56.0, 162.0
234.5190, 19.65, 55.0, 162.0
236.4560, 19.66, 52.0, 130.0
238.3300, 19.66, 51.0, 130.0
240.2320, 19.65, 49.0, 102.0
242.1410, 19.65, 48.0, 81.0
244.0160, 19.65, 47.0, 81.0
245.9050, 19.64, 46.0, 63.0
247.7810, 19.65, 45.0, 49.0
249.6850, 19.64, 45.0, 49.0
