time[ms],T[°C],hum[%],IAQ[\]
38.19800, 18.88, 44.0, 35.0
39.14500, 18.86, 44.0, 35.0
41.05100, 18.85, 44.0, 34.0
42.94000, 18.85, 44.0, 33.0
44.80000, 18.86, 44.0, 33.0
46.67300, 18.86, 44.0, 33.0
48.59500, 18.85, 44.0, 33.0
50.50000, 18.85, 44.0, 33.0
52.40300, 18.84, 44.0, 33.0
54.28100, 18.83, 44.0, 32.0
56.20100, 19.61, 49.0, 105.0
58.10600, 19.8, 57.0, 105.0
59.96300, 20.01, 65.0, 197.0
61.88600, 19.87, 70.0, 248.0
63.77600, 20.37, 75.0, 248.0
65.66300, 20.47, 78.0, 307.0
68.78600, 20.3, 78.0, 307.0
69.72800, 19.79, 79.0, 308.0
71.65000, 19.71, 78.0, 308.0
73.55600, 19.64, 78.0, 308.0
75.46000, 19.46, 75.0, 281.0
77.36600, 19.39, 71.0, 243.0
79.25400, 19.38, 68.0, 243.0
81.11200, 19.37, 65.0, 204.0
