time[ms],T[°C],hum[%],IAQ[\]
38.23900, 21.54, 40.0, 66.0
39.20100, 21.47, 40.0, 62.0
41.11800, 21.45, 40.0, 62.0
43.05400, 21.41, 40.0, 59.0
44.96000, 21.38, 40.0, 59.0
46.91100, 21.34, 40.0, 55.0
48.81500, 21.3, 40.0, 53.0
50.73500, 21.25, 41.0, 53.0
52.64000, 21.21, 41.0, 52.0
54.60500, 21.19, 41.0, 52.0
56.56900, 21.14, 41.0, 49.0
58.56300, 21.1, 41.0, 46.0
59.57000, 21.05, 41.0, 46.0
60.54500, 21.03, 41.0, 45.0
62.54100, 21.01, 41.0, 45.0
64.45900, 20.97, 41.0, 42.0
66.39700, 20.93, 41.0, 42.0
69.50000, 20.88, 41.0, 40.0
70.44600, 20.82, 41.0, 40.0
72.36500, 20.8, 41.0, 40.0
74.27100, 20.76, 41.0, 36.0
76.17600, 20.73, 42.0, 35.0
78.07800, 20.7, 42.0, 35.0
80.00100, 20.67, 42.0, 31.0
81.92200, 20.62, 42.0, 31.0
83.84100, 20.59, 42.0, 31.0
85.79200, 20.56, 42.0, 31.0
87.77200, 20.52, 42.0, 30.0
88.74300, 20.49, 42.0, 30.0
90.68100, 20.48, 42.0, 32.0
92.59900, 20.45, 42.0, 32.0
94.53400, 20.43, 42.0, 31.0
96.50000, 20.41, 43.0, 31.0
99.67900, 20.38, 43.0, 29.0
100.6570, 20.31, 43.0, 28.0
102.6070, 20.3, 43.0, 26.0
103.5790, 20.28, 43.0, 26.0
105.5280, 20.27, 43.0, 26.0
107.4820, 20.24, 43.0, 25.0
109.4140, 20.21, 43.0, 25.0
111.3640, 20.18, 43.0, 25.0
113.2990, 20.16, 43.0, 22.0
115.2740, 20.13, 43.0, 21.0
117.2140, 20.11, 43.0, 21.0
119.1520, 20.08, 43.0, 23.0
121.1020, 20.05, 43.0, 24.0
123.0490, 20.03, 43.0, 24.0
124.9860, 20.01, 43.0, 25.0
126.9360, 20.0, 44.0, 26.0
130.1160, 19.97, 44.0, 26.0
131.0920, 19.94, 44.0, 25.0
133.0420, 19.93, 44.0, 25.0
135.0070, 19.92, 44.0, 25.0
136.9730, 19.9, 44.0, 23.0
138.9340, 19.88, 44.0, 22.0
140.8540, 19.87, 44.0, 22.0
142.8070, 19.85, 44.0, 23.0
144.7410, 19.83, 44.0, 25.0
146.6770, 19.76, 44.0, 25.0
148.6120, 19.75, 44.0, 19.0
150.5440, 19.73, 44.0, 19.0
152.4680, 19.74, 44.0, 18.0
154.4140, 19.74, 44.0, 17.0
156.3380, 19.73, 44.0, 17.0
158.2540, 19.71, 44.0, 16.0
161.4040, 19.69, 44.0, 17.0
162.3940, 19.79, 44.0, 20.0
164.3180, 20.41, 44.0, 20.0
166.2340, 21.7, 44.0, 25.0
168.1420, 22.549999999999997, 43.0, 25.0
170.0740, 23.119999999999997, 42.0, 41.0
171.9500, 23.590000000000003, 42.0, 58.0
173.8240, 23.97, 41.0, 58.0
175.7020, 24.28, 40.0, 76.0
177.5770, 24.42, 39.0, 76.0
179.4680, 24.659999999999997, 39.0, 95.0
181.3280, 24.89, 38.0, 110.0
183.2180, 25.07, 38.0, 110.0
185.0900, 25.240000000000002, 37.0, 123.0
186.9840, 25.4, 37.0, 136.0
188.8400, 25.560000000000002, 36.0, 136.0
191.9460, 25.72, 36.0, 149.0
192.9080, 25.869999999999997, 36.0, 159.0
194.8280, 25.939999999999998, 36.0, 159.0
196.7340, 26.08, 35.0, 166.0
198.6830, 26.270000000000003, 35.0, 176.0
200.6020, 26.36, 35.0, 176.0
202.5240, 26.520000000000003, 35.0, 185.0
204.4080, 26.659999999999997, 35.0, 185.0
206.2850, 26.799999999999997, 34.0, 190.0
208.1600, 26.939999999999998, 34.0, 196.0
210.0530, 27.04, 34.0, 196.0
211.9580, 27.14, 34.0, 199.0
213.8600, 27.229999999999997, 33.0, 205.0
215.7650, 27.340000000000003, 33.0, 205.0
217.6550, 27.509999999999998, 33.0, 209.0
219.5480, 27.58, 33.0, 209.0
222.6800, 27.71, 33.0, 215.0
223.6580, 27.869999999999997, 32.0, 221.0
225.6090, 27.92, 32.0, 221.0
227.4980, 28.0, 32.0, 228.0
229.3730, 27.93, 32.0, 233.0
231.2910, 27.04, 32.0, 233.0
233.1830, 26.409999999999997, 32.0, 230.0
235.1310, 25.97, 32.0, 221.0
237.0230, 25.659999999999997, 33.0, 221.0
238.9730, 25.380000000000003, 33.0, 213.0
240.8910, 25.130000000000003, 33.0, 203.0
242.8290, 24.93, 34.0, 203.0
244.7460, 24.740000000000002, 34.0, 193.0
246.6660, 24.58, 34.0, 183.0
248.5740, 24.479999999999997, 34.0, 183.0
250.5060, 24.310000000000002, 35.0, 173.0
253.6440, 24.17, 35.0, 173.0
254.5890, 23.909999999999997, 35.0, 162.0
256.4790, 23.83, 35.0, 155.0
258.3830, 23.689999999999998, 35.0, 155.0
260.2880, 23.560000000000002, 36.0, 145.0
262.1790, 23.450000000000003, 36.0, 136.0
264.0810, 23.33, 36.0, 136.0
265.9750, 23.200000000000003, 36.0, 129.0
267.8800, 23.07, 37.0, 124.0
269.7840, 22.950000000000003, 37.0, 124.0
271.7490, 22.86, 37.0, 120.0
272.7380, 22.82, 37.0, 120.0
274.6140, 22.78, 37.0, 114.0
276.5050, 22.68, 37.0, 114.0
278.2870, 22.58, 38.0, 108.0
280.0440, 22.490000000000002, 38.0, 103.0
281.7530, 22.4, 38.0, 103.0
284.6190, 22.36, 38.0, 98.0
285.4740, 22.240000000000002, 38.0, 95.0
287.2420, 22.200000000000003, 38.0, 95.0
288.9820, 22.119999999999997, 38.0, 92.0
290.7220, 22.04, 38.0, 92.0
292.4950, 22.0, 38.0, 88.0
294.2340, 21.94, 39.0, 88.0
295.9740, 21.87, 39.0, 86.0
297.7150, 21.81, 39.0, 78.0
299.4850, 21.79, 39.0, 78.0
301.2560, 21.74, 39.0, 77.0
303.0260, 21.68, 39.0, 77.0
304.7920, 21.62, 39.0, 75.0
306.6100, 21.57, 40.0, 71.0
308.3780, 21.53, 40.0, 71.0
310.2860, 21.46, 40.0, 66.0
312.1300, 21.42, 40.0, 66.0
315.2200, 21.37, 40.0, 65.0
316.1470, 21.28, 40.0, 62.0
318.0560, 21.25, 40.0, 62.0
319.9580, 21.21, 40.0, 57.0
321.7880, 21.15, 40.0, 55.0
323.5880, 21.1, 40.0, 55.0
325.3750, 21.07, 40.0, 53.0
327.1430, 21.0, 41.0, 53.0
328.9890, 20.95, 41.0, 52.0
330.8960, 20.91, 41.0, 48.0
332.7860, 20.86, 41.0, 48.0
334.6910, 20.84, 41.0, 45.0
336.6260, 20.8, 41.0, 45.0
338.5300, 20.75, 41.0, 43.0
340.4660, 20.71, 41.0, 43.0
342.4020, 20.67, 41.0, 43.0
345.6110, 20.63, 41.0, 42.0
346.5830, 20.56, 41.0, 37.0
348.4920, 20.55, 42.0, 37.0
350.4260, 20.51, 42.0, 36.0
352.3580, 20.46, 42.0, 33.0
354.2780, 20.44, 42.0, 33.0
356.2280, 20.41, 42.0, 33.0
358.1480, 20.37, 42.0, 29.0
360.0850, 20.33, 42.0, 29.0
362.0070, 20.29, 42.0, 32.0
363.9410, 20.23, 42.0, 28.0
365.8760, 20.19, 42.0, 28.0
367.7970, 20.17, 42.0, 29.0
369.7160, 20.16, 42.0, 29.0
371.6640, 20.14, 42.0, 25.0
373.5870, 20.11, 43.0, 26.0
376.7330, 20.09, 43.0, 26.0
377.6960, 20.07, 43.0, 28.0
379.6310, 20.05, 43.0, 26.0
381.5800, 20.04, 43.0, 26.0
383.5010, 20.01, 43.0, 26.0
385.4370, 20.0, 43.0, 26.0
387.3680, 19.98, 43.0, 26.0
389.2890, 19.95, 43.0, 26.0
391.2250, 19.94, 43.0, 25.0
393.1610, 19.92, 43.0, 25.0
395.0630, 19.9, 43.0, 24.0
397.0010, 19.88, 43.0, 24.0
398.9490, 19.85, 43.0, 24.0
400.8690, 19.83, 43.0, 24.0
402.8040, 19.8, 43.0, 23.0
404.7260, 19.79, 43.0, 23.0
407.8760, 19.78, 43.0, 22.0
408.8490, 19.73, 44.0, 25.0
410.7720, 19.72, 44.0, 25.0
412.7080, 19.72, 44.0, 24.0
414.6260, 19.7, 44.0, 24.0
416.5430, 19.69, 44.0, 23.0
